,paragraph_number,paragraph
384,385,The term uniform here refers to having a ﬁxed sample size that works for all members of H and over all possible probability distributions over the domain. uniform convergence.
385,386,If a class H has the uniform convergence property with a is a successful agnostic PAC learner for H.
386,387,Finite Classes Are Agnostic PAC Learnable
387,388,PAC learnable will follow once we establish that uniform convergence holds for a ﬁnite hypothesis class.
388,389,"To show that uniform convergence holds we follow a two step argument, similar second step employs a measure concentration inequality. We now explain these two steps in detail."
389,390,Learning via Uniform Convergence
390,391,"Equivalently, we need to show that of this inequality is small enough (for a suﬃciently large m). That is, we will show that for any ﬁxed hypothesis, h, (which is chosen in advance prior to the sampling of the training set), the gap between the true and empirical risks, |LS(h) −LD(h)|, is likely to be small."
391,392,"Recall that LD(h) = Ez∼D[ℓ(h, z)] and that LS(h) = each zi is sampled i.i.d. from D, the expected value of the random variable ℓ(h, zi) is LD(h). By the linearity of expectation, it follows that LD(h) is also the expected value of LS(h). Hence, the quantity |LD(h)−LS(h)| is the deviation of the random variable LS(h) from its expectation. We therefore need to show that the measure of LS(h) is concentrated around its expected value."
392,393,"A basic statistical fact, the law of large numbers, states that when m goes to inﬁnity, empirical averages converge to their true expectation. This is true for"
393,394,"LS(h), since it is the empirical average of m i.i.d random variables. However, since the law of large numbers is only an asymptotic result, it provides no information about the gap between the empirically estimated error and its true value for any given, ﬁnite, sample size."
394,395,"Instead, we will use a measure concentration inequality due to Hoeﬀding, which quantiﬁes the gap between empirical averages and their expected value."
395,396,"The proof can be found in Appendix B. random variables. Furthermore, LS(h) ="
396,397,"Finally, if we choose"
397,398,"Let H be a ﬁnite hypothesis class, let Z be a domain, and let property with sample complexity"
398,399,"Furthermore, the class is agnostically PAC learnable using the ERM algorithm with sample complexity"
399,400,"While the preceding corollary only applies to ﬁnite hypothesis classes, there is a simple trick that allows us to get a very good estimate of the practical sample complexity of inﬁnite hypothesis classes. Consider a hypothesis class that is parameterized by d parameters. For inﬁnite size. However, if we are going to learn this hypothesis class in practice, using a computer, we will probably maintain real numbers using ﬂoating point is parameterized by d numbers, in practice we learn a hypothesis class of size at"
400,401,"Learning via Uniform Convergence ity has the deﬁciency of being dependent on the speciﬁc representation of real less, the discretization trick can be used to get a rough estimate of the sample complexity in many practical situations."
401,402,If the uniform convergence property holds for a hypothesis class H then in most cases the empirical risks of hypotheses in H will faithfully represent their true risks. Uniform convergence suﬃces for agnostic PAC learnability using the ERM rule. We have shown that ﬁnite hypothesis classes enjoy the uniform convergence property and are hence agnostic PAC learnable.
402,403,Bibliographic Remarks
403,404,Classes of functions for which the uniform convergence property holds are also
404,405,"Francesco Paolo Cantelli, who proved the ﬁrst uniform convergence result in mental theorem of learning theory states that in binary classiﬁcation problems, uniform convergence is not only a suﬃcient condition for learnability but is also a necessary condition. This is not the case for more general learning problems pler looking requirement about averages (or expectations). Prove that the following two statements are equivalent (for any learning algorithm A, any (where ES∼Dm denotes the expectation over samples S of size m). the sample complexity satisﬁes learner, and result in overﬁtting. To overcome this problem, we restricted the search space to some hypothesis class H. Such a hypothesis class can be viewed as reﬂecting some prior knowledge that the learner has about the task – a belief example, in our papayas taste problem, on the basis of our previous experience predicts (at least approximately) the papaya’s tastiness."
405,406,"Is such prior knowledge really necessary for the success of learning? Maybe there exists some kind of universal learner, that is, a learner who has no prior knowledge about a certain task and is ready to be challenged by any task? Let us elaborate on this point. A speciﬁc learning task is deﬁned by an unknown distribution D over X × Y, where the goal of the learner is to ﬁnd a predictor there exist a learning algorithm A and a training set size m, such that for every distribution D, if A receives m i.i.d. examples from D, there is a high chance it outputs a predictor h that has a low risk."
406,407,"Lunch theorem states that no such universal learner exists. To be more precise, the theorem states that for binary classiﬁcation prediction tasks, for every learner there exists a distribution on which it fails. We say that the learner fails if, upon receiving i.i.d. examples from that distribution, its output hypothesis is likely another learner that will output a hypothesis with a small risk. In other words, the theorem states that no learner can succeed on all learnable tasks – every learner has tasks on which it fails while other learners succeed."
407,408,"Therefore, when approaching a particular learning problem, deﬁned by some distribution D, we should have some prior knowledge on D. One type of such prior knowledge is that D comes from some speciﬁc parametric family of distributions. type of prior knowledge on D, which we assumed when deﬁning the PAC learning model, is that there exists h in some predeﬁned hypothesis class H, such that is small. In a sense, this weaker assumption on D is a prerequisite for using the"
408,409,"Personal use only. Not for distribution. Do not post. agnostic PAC model, in which we require that the risk of the output hypothesis"
409,410,"In the second part of this chapter we study the beneﬁts and pitfalls of using a hypothesis class as a means of formalizing prior knowledge. We decompose the error of an ERM algorithm over a class H into two components. The ﬁrst component reﬂects the quality of our prior knowledge, measured by the minimal also called the approximation error, or the bias of the algorithm toward choosing a hypothesis from H. The second component is the error due to overﬁtting, which depends on the size or the complexity of the class H and is called the estimation error. These two terms imply a tradeoﬀbetween choosing a more complex H (which can decrease the bias but increases the risk of overﬁtting) or a less complex H (which might increase the bias but decreases the potential"
410,411,"In this part we prove that there is no universal learner. We do this by showing that no learner can succeed on all learning tasks, as formalized in the following"
411,412,Let A be any learning algorithm for the task
412,413,"This theorem states that for every learner, there exists a task on which it fails, even though that task can be successfully learned by another learner. Indeed, a esis class H = {f}, or more generally, ERM with respect to any ﬁnite hypothesis"
413,414,Let C be a subset of X of size 2m. The intuition of the proof is that any learning algorithm that observes only half of the instances in C has no information on what should be the labels of the rest of the instances in C.
414,415,"Therefore, there exists a “reality,” that is, some target function f, that would contradict the labels that A(S) predicts on the unobserved instances in C. functions by f1, . . . , fT . For each such function, let Di be a distribution over"
415,416,"We will show that for every algorithm, A, that receives a training set of m"
416,417,"Clearly, this means that for every algorithm, A′, that receives a training set of m"
417,418,"It is easy to verify that the preceding suﬃces for showing that P[LD(A′(S)) ≥ possible sequences of m examples from C. Denote these sequences by S1, . . . , Sk."
418,419,"Also, if Sj = (x1, . . . , xm) we denote by Si j the sequence containing the instances in Sj labeled by the function fi, namely, Si j = ((x1, fi(x1)), . . . , (xm, fi(xm))). If the distribution is Di then the possible training sets A can receive are Si and all these training sets have the same probability of being sampled. Therefore,"
419,420,"Using the facts that “maximum” is larger than “average” and that “average” is larger than “minimum,” we have if and only if c = vr. Since for such a pair we must have Si consider an ERM predictor over the hypothesis class H of all the functions f from from the domain to the label set is considered a good candidate. According to the in H, and in particular the ERM predictor, will fail on some learning task."
420,421,"Therefore, this class is not PAC learnable, as formalized in the following corollary:"
421,422,Let X be an inﬁnite domain set and let H be the set of all
422,423,"Assume, by way of contradiction, that the class is learnable. Choose in particular for the algorithm A), there exists a distribution D such that with desired contradiction."
423,424,"How can we prevent such failures? We can escape the hazards foreseen by the task, to avoid the distributions that will cause us to fail when learning that task."
424,425,Such prior knowledge can be expressed by restricting our hypothesis class.
425,426,"But how should we choose a good hypothesis class? On the one hand, we want to believe that this class includes the hypothesis that has no error at all (in the"
426,427,"PAC setting), or at least that the smallest error achievable by a hypothesis from this class is indeed rather small (in the agnostic setting). On the other hand, we have just seen that we cannot simply choose the richest class – the class of all functions over the given domain. This tradeoﬀis discussed in the following"
427,428,"To answer this question we decompose the error of an ERMH predictor into two components as follows. Let hS be an ERMH hypothesis. Then, we can write"
428,429,"• The Approximation Error – the minimum risk achievable by a predictor in the hypothesis class. This term measures how much risk we have because we restrict ourselves to a speciﬁc class, namely, how much inductive bias we have. The approximation error does not depend on the sample size and is determined by the hypothesis class chosen. Enlarging the hypothesis class can decrease the approximation error."
429,430,"Under the realizability assumption, the approximation error is zero. In minimal yet inevitable error, because of the possible nondeterminism of the world in this model. Sometimes in the literature the term approximation error refers not to"
430,431,"• The Estimation Error – the diﬀerence between the approximation error and the error achieved by the ERM predictor. The estimation error results because the empirical risk (i.e., training error) is only an estimate of the true risk, and so the predictor minimizing the empirical risk is only an estimate of the predictor minimizing the true risk."
431,432,"The quality of this estimation depends on the training set size and on the size, or complexity, of the hypothesis class. As we have shown, for creases with m. We can think of the size of H as a measure of its complexity."
432,433,"In future chapters we will deﬁne other complexity measures of hypothesis complexity tradeoﬀ. On one hand, choosing H to be a very rich class decreases the approximation error but at the same time might increase the estimation error, as a rich H might lead to overﬁtting. On the other hand, choosing H to be a very small set reduces the estimation error but might increase the approximation error or, in other words, might lead to underﬁtting. Of course, a great choice for"
433,434,"H is the class that contains only one classiﬁer – the Bayes optimal classiﬁer. But the Bayes optimal classiﬁer depends on the underlying distribution D, which we do not know (indeed, learning would have been unnecessary had we known D). sonable estimation error. In many cases, empirical research focuses on designing good hypothesis classes for a certain domain. Here, “good” means classes for which the approximation error would not be excessively high. The idea is that siﬁer, we still have some prior knowledge of the speciﬁc problem at hand, which enables us to design hypothesis classes for which both the approximation error and the estimation error are not too large. Getting back to our papayas example, we do not know how exactly the color and hardness of a papaya predict its taste, but we do know that papaya is a fruit and on the basis of previous experience be a good predictor. learner has to be speciﬁed to some task, and use some prior knowledge about that task, in order to succeed. So far we have modeled our prior knowledge by restricting our output hypothesis to be a member of a chosen hypothesis class."
434,435,"When choosing this hypothesis class, we face a tradeoﬀ, between a larger, or more complex, class that is more likely to have a small approximation error, and a more restricted class that would guarantee that the estimation error will be small. In the next chapter we will study in more detail the behavior of the"
435,436,"Bibliographic Remarks tion, but these are rather diﬀerent from the theorem we prove here. The theorem we prove here is closely related to lower bounds in VC theory, as we will study in the next chapter. (BMI), age (A), level of physical activity (P), and income (I)."
436,437,You have to choose between two algorithms; the ﬁrst picks an axis aligned rectangle in the two dimensional space spanned by the features BP and BMI and the other picks an axis aligned rectangle in the ﬁve dimensional space spanned by all the preceding features.
437,438,"Namely, let A be a learning algorithm for the task of binary classiﬁcation. Let m be any number smaller than |X|/k, representing a training set size. Then, proximation error and estimation error. The approximation error depends on the ﬁt of our prior knowledge (as reﬂected by the choice of the hypothesis class"
438,439,"H) to the underlying unknown distribution. In contrast, the deﬁnition of PAC learnability requires that the estimation error would be bounded uniformly over"
439,440,"Our current goal is to ﬁgure out which classes H are PAC learnable, and to characterize exactly the sample complexity of learning a given hypothesis class."
440,441,"So far we have seen that ﬁnite classes are learnable, but that the class of all functions (over an inﬁnite size domain) is not. What makes one class learnable determines their sample complexity? able, and thus, ﬁniteness of the hypothesis class is not a necessary condition for learnability. We then present a remarkably crisp characterization of the family loss. This characterization was ﬁrst discovered by Vladimir Vapnik and Alexey provide several examples, and then state the fundamental theorem of statistical"
441,442,"ERM rule, and uniform convergence. complexity of a hypothesis class is upper bounded by the log of its size. To show that the size of the hypothesis class is not the right characterization of its sample"
442,443,"Let H be the set of threshold functions over the real line, namely,"
443,444,"Personal use only. Not for distribution. Do not post. size. Nevertheless, the following lemma shows that H is learnable in the PAC model using the ERM algorithm."
444,445,"Let H be the class of thresholds as deﬁned earlier. Then, H is a0 < a⋆< a1 be such that is positive we set b0 = −∞and if no example in S is negative we set b1 = ∞)."
445,446,"Let bS be a threshold corresponding to an ERM hypothesis, hS, which implies"
446,447,"S∼Dm[b0 < a0 ∨b1 > a1], and using the union bound we can bound the preceding by"
447,448,"The event b0 < a0 happens if and only if all examples in S are not in the interval ability, it is not a necessary condition. As we will show, a property called the restricting the hypothesis class, for any learning algorithm, an adversary can construct a distribution for which the learning algorithm will perform poorly, bution. To do so, the adversary used a ﬁnite set C ⊂X and considered a family of distributions that are concentrated on elements of C. Each distribution was fail, the adversary used the power of choosing a target function from the set of"
448,449,"When considering PAC learnability of a hypothesis class H, the adversary achieves a zero risk. Since we are considering distributions that are concentrated on elements of C, we should study how H behaves on C, which leads to the following deﬁnition."
449,450,Let H be a class of functions from X we say that H shatters the set C. Formally:
450,451,A hypothesis class H shatters a ﬁnite set C ⊂X
451,452,Let H be the class of threshold functions over R. Take a set
452,453,"Getting back to the construction of an adversarial distribution as in the proof is shattered by H, the adversary is not restricted by H, as they can construct maintaining the realizability assumption. This immediately yields: m be a training set size. Assume that there exists a set C ⊂X of size 2m that is shattered by H. Then, for any learning algorithm, A, there exist a distribution D learn H using m examples. Intuitively, if a set C is shattered by H, and we receive a sample containing half the instances of C, the labels of these instances give us no information about the labels of the rest of the instances in C – every possible labeling of the rest of the instances can be explained by some hypothesis in H. Philosophically,"
453,454,"If someone can explain every phenomenon, his explanations are worthless."
454,455,"This leads us directly to the deﬁnition of the VC dimension. denoted VCdim(H), is the maximal size of a set C ⊂X that can be shattered by H. If H can shatter sets of arbitrarily large size we say that H has inﬁnite learnability. But before delving into more theory, we ﬁrst show several examples. show that VCdim(H) = d we need to show that we have shown that for an arbitrary set C = {c1}, H shatters C; therefore by an interval and therefore H does not shatter C. We therefore conclude that"
455,456,Axis Aligned Rectangles
456,457,"Let H be the class of axis aligned rectangles, formally: h(a1,a2,b1,b2)(x1, x2) = leftmost point (whose ﬁrst coordinate is the smallest in C), a rightmost point (ﬁrst coordinate is the largest), a lowest point (second coordinate is the smallest), and a highest point (second coordinate is the largest). Without loss of generality, denote C = {c1, . . . , c5} and let c5 be the point that was not selected. Now, axis aligned rectangle. Indeed, such a rectangle must contain c1, . . . , c4; but in this case the rectangle contains c5 as well, because its coordinates are within the intervals deﬁned by the selected points. So, C is not shattered by H, and"
457,458,"Let H be a ﬁnite class. Then, clearly, for any set C we have |HC| ≤|H| and thus C shows that the PAC learnability of ﬁnite classes follows from the more general for some integer k, and consider the class of threshold functions (as deﬁned in large, the gap between log2(|H|) and VCdim(H) can be arbitrarily large. parameters deﬁning the hypothesis class. While this is often the case, it is not always true. Consider, for example, the domain X = R, and the hypothesis class is possible to prove that VCdim(H) = ∞, namely, for every d, one can ﬁnd d"
458,459,"The Fundamental Theorem of PAC learning converse statement is also true, leading to the fundamental theorem of statistical"
459,460,The proof of the theorem is given in the next section. mines the sample complexity.
460,461,"Then, there are absolute constants C1, C2 such that:"
461,462,We stated the fundamental theorem for binary classiﬁcation tasks.
462,463,"A similar result holds for some other learning problems such as regression with the absolute loss or the squared loss. However, the theorem does not hold for all learning tasks. In particular, learnability is sometimes possible even though the uniform convergence property does not hold (we will see an example in but learnability is possible with other learning rules. is based on two main claims:"
463,464,"• If VCdim(H) = d, then even though H might be inﬁnite, when restricting it to a ﬁnite set C ⊂X, its “eﬀective” size, |HC|, is only O(|C|d). That is, the size of HC grows polynomially rather than exponentially with |C|. This claim is often referred to as Sauer’s lemma, but it has also been stated and proved independently by Shelah and by Perles. The formal statement is show that uniform convergence holds whenever the hypothesis class has a “small eﬀective size.” By “small eﬀective size” we mean classes for which |HC| grows polynomially with |C|."
464,465,Sauer’s Lemma and the Growth Function
465,466,"We deﬁned the notion of shattering, by considering the restriction of H to a ﬁnite set of instances. The growth function measures the maximal “eﬀective” size of"
466,467,H on a set of m examples. Formally:
467,468,Let H be a hypothesis class. Then the
468,469,"In words, τH(m) is the number of diﬀerent functions from a set C of size m to tiful lemma, proposed independently by Sauer, Shelah, and Perles, shows that polynomially rather than exponentially with m."
469,470,"Let H be a hypothesis class with VCdim(H) ≤ d < ∞. Then, for all m, τH(m) ≤Pd"
470,471,Proof of Sauer’s Lemma *
471,472,To prove the lemma it suﬃces to prove the following stronger claim: For any
472,473,"C = {c1, . . . , cm} we have d then no set whose size is larger than d is shattered by H and therefore sets of size m. Fix H and C = {c1, . . . , cm}. Denote C′ = {c2, . . . , cm} and in addition, deﬁne the following two sets:"
473,474,"It is easy to verify that |HC| = |Y0| + |Y1|. Additionally, since Y0 = HC′, using the induction assumption (applied on H and C′) we have that"
474,475,"Next, deﬁne H′ ⊆H to be = (h(c1), h(c2), . . . , h(cm)}, namely, H′ contains pairs of hypotheses that agree on C′ and diﬀer on c1. Using using the inductive assumption (now applied on H′ and C′) we obtain that"
475,476,"Overall, we have shown that which concludes our proof."
476,477,Uniform Convergence for Classes of Small Eﬀective Size
477,478,"In this section we prove that if H has small eﬀective size then it enjoys the uniform convergence property. Formally,"
478,479,"Let H be a class and let τH be its growth function. Then, for the uniform convergence property holds. We will prove that"
479,480,For simplicity assume that suﬃcient condition for the preceding to hold is that
480,481,The upper bound on mUC is not the tightest possible. A tighter analysis that yields the bounds given in
481,482,"We will start by showing that the theorem follows directly from the preceding using Markov’s inequality (see additional i.i.d. sample. Therefore,"
482,483,A generalization of the triangle inequality yields
483,484,S′∼Dm[LS′(h) −LS(h)]
484,485,"S′∼Dm |LS′(h) −LS(h)|,"
485,486,S′∼Dm |LS′(h) −LS(h)| ≤
486,487,"S = z1, . . . , zm and S′ = z′ m. Since all of these 2m vectors are chosen i.i.d., nothing will change if we replace the name of the random vector zi with the name of the random vector z′ i. If we do it, instead of the term (ℓ(h, z′ i) −ℓ(h, zi)). It follows that for and by the linearity of expectation it also equals"
487,488,"Next, ﬁx S and S′, and let C be the instances appearing in S and S′. Then, we"
488,489,"Combining all with the deﬁnition of τH, we have shown that"
489,490,"The fundamental theorem of learning theory characterizes PAC learnability of is a combinatorial property that denotes the maximal sample size that can be required for PAC learning. The theorem also shows that if a problem is at all learnable, then uniform convergence holds and therefore the problem is learnable"
490,491,"Bibliographic remarks relation to the deﬁnition of PAC learnability is due to Blumer, Ehrenfeucht, the Natarajan dimension characterizes learnability of some multiclass learning"
491,492,Sauer’s lemma has been proved by Sauer in response to a problem of Erdos
492,493,"Weiss asked Perles about such a result in the context of ergodic theory, and"
493,494,"Perles, who forgot that he had proved it once, proved it again. Vapnik and"
494,495,"Chervonenkis proved the lemma in the context of statistical learning theory. hypothesis classes if H′ ⊆H then VCdim(H′) ≤VCdim(H). dimension of each of the following classes (and prove your claims): a parity function hI as follows. On a binary vector x = (x1, x2, . . . , xn) ∈ dimension d, and every subset A of the domain,"
495,496,Show that there are cases in which the previous two inequalities are strict by equalities. Demonstrate all four combinations of = and <. axis aligned rectangles in Rd. We have already seen that VCdim(H2
496,497,"Prove that in general, VCdim(Hd con be the class of Boolean class is ﬁnite and thus (agnostic) PAC learnable. In this question we calculate that is shattered by Hd sponds to hi) contains some literal ℓi which is false on ci and true on cj for each j ̸= i. Use the Pigeonhole principle to show that there must be a to derive a contradiction to the requirements from the conjunctions hi, hj."
497,498,"Monotonicity here means that the conjunctions do not contain negations. pothesis. We augment Hd much lower than that: where VCdim(H) = ⌊log2(|H|)⌋. can be bounded above by) the number of parameters one needs to set in order to deﬁne each hypothesis in the class. For instance, if H is the class of axis aligned rectangles in Rd, then VCdim(H) = 2d, which is equal to the number of parameters used to deﬁne a rectangle in Rd. Here is an example that shows that this is not always the case. We will see that a hypothesis class might be very complex and even not learnable, although it has a small number of"
498,499,"Consider the domain X = R, and the hypothesis class"
499,500,Hint: There is more than one way to prove the required result. One option
500,501,"Hint: Take a set of k examples and assume that they are shattered by the union class. Therefore, the union class can produce all 2k possible labelings on these examples. Use Sauer’s lemma to show that the union class cannot produce more than rkd labelings. Therefore, 2k < rkd. Now deﬁning concept classes over Rn and show a connection between the VC dimension of such classes and their algebraic properties. Given a function a class F of real valued functions we deﬁne a corresponding class of functions tions is linearly closed addition and scalar multiplication of functions are deﬁned point wise, namely, is linearly closed then we can view it as a vector space over the reals. For a"
501,502,"Hypothesis classes that have a representation as POS(F + g) for some vector space of functions F and some function g are called Dudley classes. deﬁned earlier, VCdim(POS(F + g)) = VCdim(POS(F)). dimension of the corresponding class POS(F) equals the linear dimension of F (as a vector space). Hint: Let f1, . . . , fd be a basis for the vector space that this mapping induces a matching between functions over Rn of the n denote the class of functions deﬁned by polynomial inequalities variable polynomial is the maximal sum of variable exponents over all of its terms. For example, the degree of p(x) = 3x3 n (as a function of d and n)."
502,503,Nonuniform Learnability
503,504,"The notions of PAC learnability discussed so far in the book allow the sample sizes to depend on the accuracy and conﬁdence parameters, but they are uniform quently, classes that are learnable in that respect are limited (they must have more relaxed, weaker notions of learnability. We discuss the usefulness of such notions and provide characterization of the concept classes that are learnable using these deﬁnitions."
504,505,We begin this discussion by deﬁning a notion of “nonuniform learnability” that pared. We then provide a characterization of nonuniform learnability and show that nonuniform learnability is a strict relaxation of agnostic PAC learnability.
505,506,"We also show that a suﬃcient condition for nonuniform learnability is that H is new learning paradigm, which is called Structural Risk Minimization (SRM). In yields the Minimum Description Length (MDL) paradigm. The MDL paradigm notion of learnability. Finally, we discuss the signiﬁcance and usefulness of the diﬀerent notions of learnability."
506,507,Nonuniform Learnability “Nonuniform learnability” allows the sample size to be nonuniform with respect to the diﬀerent hypotheses with which the learner is competing. We say that a
507,508,"In PAC learnability, this notion of “competitiveness” is not very useful, as we are looking for a hypothesis with an absolute low risk (in the realizable case) or"
508,509,Personal use only. Not for distribution. Do not post.
509,510,"Nonuniform Learnability with a low risk compared to the minimal risk achieved by hypotheses in our class (in the agnostic case). Therefore, the sample size depends only on the accuracy and conﬁdence parameters. In nonuniform learnability, however, we allow the which we are competing. Formally,"
510,511,"A hypothesis class H is nonuniformly learnable if there exist a learning algorithm, A, and a function mNUL over the choice of S ∼Dm it holds that"
511,512,"In both types of learnability, we require that the output hypothesis will be between these two notions of learnability is the question of whether the sample size m may depend on the hypothesis h to which the error of A(S) is compared. ability. That is, if a class is agnostic PAC learnable then it is also nonuniformly"
512,513,Characterizing Nonuniform Learnability
513,514,"Our goal now is to characterize nonuniform learnability. In the previous chapter we have found a crisp characterization of PAC learnable classes, by showing dimension is ﬁnite. In the following theorem we ﬁnd a diﬀerent characterization for nonuniform learnable classes for the task of binary classiﬁcation. able if and only if it is a countable union of agnostic PAC learnable hypothesis"
514,515,"Let H be a hypothesis class that can be written as a countable union of hypothesis classes, H = S convergence property. Then, H is nonuniformly learnable. form learnability. The proof of this theorem will be given in the next section by"
515,516,"First assume that H = S nostic PAC learnable. Using the fundamental theorem of statistical learning, it follows that each Hn has the uniform convergence property. Therefore, using"
516,517,"For the other direction, assume that H is nonuniform learnable using some for any distribution D that satisﬁes the realizability assumption with respect to dimension of Hn must be ﬁnite, and therefore Hn is agnostic PAC learnable. ation of agnostic PAC learnability; namely, there are hypothesis classes that are nonuniform learnable but are not agnostic PAC learnable."
517,518,"Consider a binary classiﬁcation problem with the instance domain degree n; namely, Hn is the set of all classiﬁers of the form h(x) = sign(p(x)) the class of all polynomial classiﬁers over R. It is easy to verify that VCdim(H) ="
518,519,Structural Risk Minimization
519,520,"So far, we have encoded our prior knowledge by specifying a hypothesis class"
520,521,"H, which we believe includes a good predictor for the learning task at hand."
521,522,"Yet another way to express our prior knowledge is by specifying preferences over hypotheses within H. In the Structural Risk Minimization (SRM) paradigm, we do so by ﬁrst assuming that H can be written as H = S hypothesis class, Hn, such that a higher weight reﬂects a stronger preference for the hypothesis class. In this section we discuss how to learn with such prior knowledge. In the next section we describe a couple of important weighting schemes, including Minimum Description Length."
522,523,Nonuniform Learnability
523,524,"Concretely, let H be a hypothesis class that can be written as H = S"
524,525,"For example, H may be the class of all polynomial classiﬁers where each Hn is"
525,526,"In words, we have a ﬁxed sample size m, and we are interested in the lowest possible upper bound on the gap between empirical and true risks achievable by using a sample of m examples. a weight function over the hypothesis classes H1, H2, . . .. Such a weight function can reﬂect the importance that the learner attributes to each hypothesis class, or some measure of the complexity of diﬀerent hypothesis classes. If H is a ﬁnite all hypothesis classes. This equal weighting corresponds to no a priori preference to any hypothesis class. Of course, if one believes (as prior knowledge) that a certain hypothesis class is more likely to contain the correct target function, then it should be assigned a larger weight, reﬂecting this prior knowledge. When"
526,527,"H is a (countable) inﬁnite union of hypothesis classes, a uniform weighting is not possible but many other weighting schemes may work. For example, one can convenient way to deﬁne weighting functions using description languages."
527,528,The SRM rule follows a “bound minimization” approach. This means that the goal of the paradigm is to ﬁnd a hypothesis that minimizes a certain upper bound on the true risk. The bound that the SRM rule wishes to minimize is given in the following theorem.
528,529,H be a hypothesis class that can be written as H = S
529,530,Hn satisﬁes the uniform convergence property with a sample complexity function concludes our proof.
530,531,"The SRM paradigm searches for h that minimizes this bound, as formalized in the following pseudocode:"
531,532,Structural Risk Minimization (SRM) n Hn where Hn has uniform convergence with mUC
532,533,"Unlike the ERM paradigm discussed in previous chapters, we no longer just care about the empirical risk, LS(h), but we are willing to trade some of our bias is smaller, for the sake of a smaller estimation error."
533,534,"Next we show that the SRM paradigm can be used for nonuniform learning of every class, which is a countable union of uniformly converging hypothesis"
534,535,"Let H be a hypothesis class such that H = S each Hn has the uniform convergence property with sample complexity mUC n2π2 . Then, H is nonuniformly learnable using the SRM rule with rate"
535,536,Nonuniform Learnability
536,537,Let A be the SRM algorithm with respect to the weighting function w.
537,538,"The preceding holds in particular for the hypothesis A(S) returned by the SRM rule. By the deﬁnition of SRM we obtain that addition, from the uniform convergence property of each Hn we have that with"
538,539,"It turns out that, for any inﬁnite domain set, X, the class of all binary valued that, in some sense, the no free lunch theorem holds for nonuniform learning as well: namely, whenever the domain is not ﬁnite, there exists no nonuniform learner with respect to the class of all deterministic binary classiﬁers (although for each such classiﬁer there exists a trivial algorithm that learns it – ERM with respect to the hypothesis class that contains only this classiﬁer). prior knowledge, or bias, of a nonuniform learner for H is weaker – it is searching ciﬁc Hn. The cost of this weakening of prior knowledge is the increase in sample"
539,540,"Assume that for all n, VCdim(Hn) = n. Since mUC"
540,541,"That is, the cost of relaxing the learner’s prior knowledge from a speciﬁc Hn that contains the target h to a countable union of classes depends on the log of the index of the ﬁrst class in which h resides. That cost increases with the index of the class, which can be interpreted as reﬂecting the value of knowing a good priority order on the hypotheses in H."
541,542,Minimum Description Length and Occam’s Razor
542,543,"Let H be a countable hypothesis class. Then, we can write H as a countable union of singleton classes, namely, H = S and the SRM rule becomes"
543,544,"It follows that in this case, the prior knowledge is solely determined by the weight we assign to each hypothesis. We assign higher weights to hypotheses that we believe are more likely to be the correct one, and in the learning algorithm we prefer hypotheses that have higher weights. tion over H, which is derived from the length of descriptions given to hypotheses."
544,545,"Having a hypothesis class, one can wonder about how we describe, or represent, each hypothesis in the class. We naturally ﬁx some description language. This las. In any of these languages, a description consists of ﬁnite strings of symbols (or characters) drawn from some ﬁxed alphabet. We shall now formalize these"
545,546,"Let H be the hypothesis class we wish to describe. Fix some ﬁnite set Σ of symbols (or “characters”), which we call the alphabet. For concreteness, we"
546,547,"The set of all ﬁnite length strings is denoted Σ∗. A description language for H called “the description of h,” and its length is denoted by |h|. distinct h, h′, d(h) is not a preﬁx of d(h′). That is, we do not allow that any collections of strings enjoy the following combinatorial property:"
547,548,"Nonuniform Learnability of outcomes is a member of S; at that point, stop. For each σ ∈S, let P(σ) be the probability that this process generates the string σ. Note that since S is we will stop only once the sequence of outcomes equals σ. We therefore get that, for every σ ∈S, P(σ) = esis class, H, gives rise to a weighting function w over that hypothesis class – we will simply set w(h) = free description language for H. Then, for every sample size, m, every conﬁdence where |h| is the length of d(h). . In particular, it suggests trading oﬀempirical risk for saving description length. This yields the Minimum Description Length"
548,549,Minimum Description Length (MDL)
549,550,H is a countable hypothesis class
550,551,"Let H be the class of all predictors that can be implemented using binary string obtained by running the gzip command on the program (this yields risk, the true risk of the one that has shorter description can be bounded by a lower value. Thus, this result can be viewed as conveying a philosophical message:"
551,552,"A short explanation (that is, a hypothesis that has a short length) tends to be more valid than a long explanation."
552,553,"This is a well known principle, called Occam’s razor, after William of Ockham, it explicitly. Here, we provide one possible justiﬁcation to this principle. The sense of having a longer description), the larger the sample size it has to ﬁt to guarantee that it has a small true risk, LD(h)."
553,554,"At a second glance, our Occam razor claim might seem somewhat problematic."
554,555,"In the context in which the Occam razor principle is usually invoked in science, the language according to which complexity is measured is a natural language, sume that we have two hypotheses such that |h′| is much smaller than |h|. By the preceding result, if both have the same error on a given training set, S, then the true error of h may be much higher than the true error of h′, so one should prefer h′ over h. However, we could have chosen a diﬀerent description language,"
555,556,Suddenly it looks as if one should prefer h over h′. But these are the same h and h′ for which we argued two sentences ago that h′ should be preferable. Where is
556,557,"Indeed, there is no inherent generalizability diﬀerence between hypotheses."
